iter	RMSE
0	26.61158082
1	16.80683987
2	12.53293277
3	10.97493111
4	10.14362293
5	9.162354998
6	8.351098377
7	7.841443884
8	7.470268353
9	6.998062856
10	6.676812479
11	6.234450702
12	6.092504533
13	6.001483383
14	5.877736727
15	5.690965011
16	5.607708739
17	5.392975379
18	5.188234319
19	5.134523592
20	4.985273679
21	4.850191975
22	4.816034211
23	4.746243378
24	4.634451938
25	4.540279471
26	4.505150462
27	4.385338919
28	4.224866286
29	4.164589559
30	4.124104265
31	4.013768429
32	3.986063004
33	3.84527843
34	3.797751456
35	3.719797471
36	3.670459264
37	3.641332015
38	3.624093576
39	3.586414668
40	3.556389705
41	3.501768652
42	3.473266806
43	3.442186492
44	3.425235566
45	3.384064893
46	3.320042717
47	3.29880402
48	3.285764694
49	3.267097324
50	3.238995554
51	3.227577991
52	3.195148835
53	3.176719928
54	3.153816648
55	3.099996569
56	3.090146218
57	3.062890228
58	3.04103645
59	3.027144667
60	3.00050241
61	2.968143132
62	2.955812894
63	2.941861111
64	2.928702098
65	2.920993092
66	2.903875495
67	2.887255536
68	2.873022539
69	2.857328578
70	2.852295304
71	2.827368914
72	2.818896344
73	2.805891516
74	2.800214164
75	2.79582262
76	2.788824295
77	2.780961387
78	2.776737751
79	2.764510812
80	2.757610727
81	2.753044711
82	2.744092712
83	2.730769788
84	2.723852306
85	2.709048273
86	2.703444852
87	2.694278572
88	2.689669443
89	2.684611881
90	2.678858688
91	2.674976556
92	2.663472682
93	2.655705589
94	2.653171905
95	2.638367723
96	2.631918208
97	2.628610332
98	2.625447439
99	2.614408874
