iter	Passed	Remaining
0	8	829
1	19	944
2	26	864
3	39	951
4	53	1007
5	65	1021
6	74	993
7	86	997
8	96	974
9	106	957
10	115	931
11	123	907
12	132	887
13	145	896
14	154	874
15	163	856
16	172	839
17	181	827
18	188	805
19	199	799
20	208	782
21	215	764
22	222	745
23	229	727
24	237	713
25	246	701
26	254	688
27	263	677
28	271	664
29	282	659
30	292	651
31	299	636
32	305	620
33	313	609
34	321	597
35	329	585
36	336	573
37	345	563
38	352	550
39	361	542
40	367	529
41	374	517
42	381	505
43	388	494
44	394	482
45	402	472
46	409	462
47	417	451
48	423	440
49	430	430
50	443	425
51	451	416
52	459	407
53	467	398
54	476	389
55	483	379
56	491	370
57	497	359
58	504	350
59	510	340
60	523	334
61	535	327
62	544	319
63	558	314
64	570	306
65	578	297
66	590	290
67	601	283
68	609	273
69	621	266
70	628	256
71	639	248
72	650	240
73	658	231
74	668	222
75	677	213
76	688	205
77	701	197
78	709	188
79	721	180
80	730	171
81	737	161
82	748	153
83	757	144
84	769	135
85	777	126
86	785	117
87	795	108
88	803	99
89	813	90
90	821	81
91	834	72
92	845	63
93	856	54
94	867	45
95	889	37
96	903	27
97	920	18
98	946	9
99	966	0
