,fold_0,fold_1,fold_2,fold_3,fold_4,mean_importance,std_importance
seasonal_norm,1008052.6594713866,822279.6902769478,902680.1972544172,889262.2989739858,834299.9466907522,891314.9585334979,65996.44342144043
g_rain_st1_7d,590151.3725550231,558144.5049597463,664326.921498911,518984.50943368115,679954.8987990096,602312.4414492742,61508.35615348743
g_rain_st12_7d,102131.37212340534,204501.50265160552,168119.41252563428,319430.6562174312,231238.9942826219,205084.38756013964,71728.94134209407
day_of_year,86439.07962548756,74818.05339643359,84451.98133097537,86932.29885592766,83504.20089034794,83229.12281983442,4389.407139395245
tma_anchor_0h_norm,82761.85350222653,74107.5032376512,78464.32316580694,76507.43848776323,76335.36796658952,77635.29727200748,2911.222255318507
nino_34,74695.61699924292,74727.33463670313,79242.67473933403,80526.6666114456,74607.25523431413,76759.90964420796,2583.763412599345
spatial_anchor_0h_norm,70906.49300320656,68305.39363357413,71172.59201140236,76624.82227225683,75641.30464994255,72530.1211140765,3123.248832871745
soil_moisture_100_255cm,71957.90821020596,76031.12754136982,68241.7117765845,75604.17023568228,69225.49660284445,72212.08287333741,3188.7147193379483
soil_moisture_28_100cm,67766.87074216595,59166.991301072674,64624.233976200805,65860.01740975108,61707.83110615949,63825.18890706999,3049.520117675788
latitude,60083.96195338853,65925.87028949428,63965.312723495765,61448.388650259934,64714.657757949084,63227.63827491752,2148.6868818361545
g_rain_st13_7d,61166.903606330976,65608.14442239143,57954.07095635729,64671.058762994595,53715.6896882616,60623.17348726718,4390.179805563677
longitude,56161.96486234713,50030.505358464085,55080.388435721805,49879.44645364862,56294.38604020886,53489.338230078094,2916.76226527987
temperature_c,67119.326994529,30591.549469138088,62298.82136991911,41053.735629763454,63290.27474590205,52870.74164185034,14397.788559193108
g_rain_st24_7d,83900.09582202695,33461.03412381816,45330.18161658873,57615.93426161539,40304.36399837956,52122.32196448576,17742.87266638993
tma_trend_30d,53852.134461735375,52129.430815696775,49789.100891246075,53050.72029014793,43601.40313603543,50484.55791897232,3701.157877644918
soil_moisture_7_28cm,43801.59497454809,37591.21514900279,43087.50372340903,46323.17250745883,41306.965991078876,42422.09046909952,2903.2777169734836
