nama_pos,latitude,longitude
Ketonggo,-7.4241,111.4495
Sekayu,-7.86520004,111.4479
Cepu,-7.1483,111.5986
Karanggeneng,-6.9896,112.3688
Bojonegoro - Kali Kethek,-7.13680318,111.89776287
Badegan,-7.8849,111.3275
Lorog,-8.196982,111.341354
Wonogiri Dam,-7.838796329,110.9254908
Kajangan,-7.365744,111.235721
Boboh Kali Lamong,-7.2504,112.5623
Kali Anyar - Kreteg Abang,-7.553596,110.833859
Colo Weir,-7.751307,110.901425
Ngadipiro,-7.876715,110.991808
Bengkelolor,-7.2659,112.5016
Ngrembang,-8.0244,110.948
Karangnongko,-7.25358903,111.48798163
Kali Pepe - Tugu Boto,-7.530054,110.793742
Kedungupit,-7.373851,111.005016
Brangkal,-7.0847,111.8492
Kali Pepe - PTPN,-7.56637609940404,110.830243130438
Babat,-7.110837,112.154488
Napel,-7.376188,111.464305
Peren,-7.641,110.8448
Jurug,-7.5667,110.861
Jarum,-7.7337,110.7571
Gunungsari,-8.137219,111.137746
Sumberrejo,-7.0672,112.0177
Floodway Bridge C,-6.964196,112.276556
Arjowinangun - Pacitan,-8.19756104,111.11431399
Serenan,-7.6705,110.78
