iter	RMSE
0	1.014757854
1	0.9914600322
2	0.9703336615
3	0.9517605172
4	0.934468906
5	0.919766502
6	0.9065239498
7	0.8946324525
8	0.8841000253
9	0.8745995396
10	0.8664136373
11	0.8588663174
12	0.851941733
13	0.8454387111
14	0.8399875217
15	0.8350011086
16	0.8304901099
17	0.8262461087
18	0.8225912701
19	0.8190218424
20	0.8155306586
21	0.8127029986
22	0.8102966597
23	0.8079040834
24	0.8055240104
25	0.8033385942
26	0.8013827122
27	0.7996815568
28	0.7980076354
29	0.7966531295
30	0.7950841751
31	0.7934211679
32	0.7921229534
33	0.7909943895
34	0.7898849694
35	0.7887927212
36	0.7873513819
37	0.7864282999
38	0.7855488018
39	0.7845121709
40	0.7836079299
41	0.7829038669
42	0.7817119026
43	0.7810499918
44	0.7803470429
45	0.7795182361
46	0.7787426705
47	0.7776892864
48	0.77692561
49	0.7762314335
50	0.7755762602
51	0.7749436834
52	0.7742035623
53	0.773702488
54	0.7732511067
55	0.7725196815
56	0.7716983327
57	0.7710793808
58	0.7705501245
59	0.7700273059
60	0.7697355512
61	0.7691565497
62	0.7684901476
63	0.7680462819
64	0.7674440111
65	0.7667493515
66	0.7662341679
67	0.7657467099
68	0.7652546193
69	0.7647199742
70	0.7642058316
71	0.7637785776
72	0.7634562361
73	0.7629166392
74	0.7625197694
75	0.7623034107
76	0.7618959291
77	0.7615138408
78	0.7612555314
79	0.7606982651
80	0.7604895319
81	0.760052784
82	0.75969086
83	0.7593765128
84	0.7590097182
85	0.7586145459
86	0.7583091018
87	0.757896527
88	0.7575703974
89	0.7572509917
90	0.7568284646
91	0.7566084498
92	0.756310336
93	0.7559997092
94	0.7558108695
95	0.7554321062
96	0.7551230242
97	0.7546937374
98	0.7544993471
99	0.7543179756
100	0.7539269714
101	0.7535257689
102	0.7531887125
103	0.7529280619
104	0.7525176388
105	0.75211428
106	0.7516258992
107	0.7510711346
108	0.7508063158
109	0.7504830385
110	0.7500058891
111	0.7496797804
112	0.7492805093
113	0.7488509396
114	0.7485471953
115	0.7482863772
116	0.7480053368
117	0.7477823291
118	0.7474018871
119	0.7469105457
120	0.7466716482
121	0.7454461147
122	0.7452514945
123	0.7449252851
124	0.7445988802
125	0.7441619167
126	0.7438826377
127	0.7436001102
128	0.7432919398
129	0.7429753128
130	0.7424900058
131	0.7422421843
132	0.7419724974
133	0.7416533075
134	0.7413424343
135	0.741011294
136	0.7408342561
137	0.7404573013
138	0.7402549816
139	0.7399076415
140	0.7396369815
141	0.7393693365
142	0.7391064202
143	0.7389533687
144	0.7385118167
145	0.7382216099
146	0.737968331
147	0.7377111729
148	0.7374878426
149	0.7371102874
150	0.7368438853
151	0.7365853971
152	0.736219461
153	0.7358005773
154	0.7356472505
155	0.7354034241
156	0.7351691128
157	0.7349161309
158	0.734531581
159	0.7342848334
160	0.7341480739
161	0.733844179
162	0.7335158066
163	0.7332259368
164	0.7329230074
165	0.7326344932
166	0.7323492539
167	0.7322072693
168	0.7320674318
169	0.7318013896
170	0.7314678389
171	0.73107277
172	0.7307792242
173	0.7306519795
174	0.7303567513
175	0.7301795958
176	0.7298896255
177	0.7296867783
178	0.7292568129
179	0.7289557555
180	0.7287214031
181	0.7284024616
182	0.7281620549
183	0.7278443843
184	0.7275891665
185	0.7274577017
186	0.7273007306
187	0.7270623256
188	0.7268910216
189	0.7266614576
190	0.7264007868
191	0.7262249112
192	0.7253119817
193	0.724979497
194	0.724736403
195	0.7246121829
196	0.7243924659
197	0.7239670077
198	0.7238005619
199	0.7234713051
200	0.7228003061
201	0.7225830899
202	0.7223534517
203	0.7220970672
204	0.7216854305
205	0.7214586272
206	0.7212937966
207	0.7210901647
208	0.7206716752
209	0.7203920404
210	0.720250535
211	0.7199884817
212	0.7198760875
213	0.719575792
214	0.7193742668
215	0.7192392114
216	0.7190377908
217	0.7187723509
218	0.7186284726
219	0.7182920415
220	0.7181284326
221	0.7178839579
