iter	Passed	Remaining
0	18	36400
1	36	36541
2	55	37228
3	72	36371
4	92	36751
5	110	36565
6	126	36080
7	144	36048
8	161	35768
9	179	35770
10	196	35522
11	213	35301
12	231	35366
13	248	35218
14	266	35231
15	281	34956
16	298	34830
17	315	34744
18	330	34500
19	347	34434
20	365	34482
21	385	34659
22	401	34513
23	416	34295
24	432	34155
25	447	33950
26	463	33866
27	480	33813
28	497	33793
29	513	33736
30	532	33827
31	548	33744
32	565	33680
33	583	33750
34	598	33604
35	614	33546
36	629	33399
37	644	33265
38	664	33397
39	680	33340
40	697	33306
41	712	33213
42	730	33260
43	747	33230
44	764	33192
45	778	33083
46	796	33110
47	815	33150
48	831	33089
49	846	33029
50	864	33034
51	881	33037
52	899	33060
53	918	33082
54	935	33074
55	953	33105
56	969	33051
57	988	33092
58	1003	33002
59	1019	32962
60	1035	32916
61	1051	32872
62	1066	32798
63	1083	32785
64	1100	32770
65	1116	32714
66	1131	32656
67	1146	32580
68	1162	32544
69	1179	32525
70	1197	32539
71	1213	32488
72	1229	32466
73	1248	32484
74	1265	32480
75	1281	32437
76	1298	32430
77	1314	32386
78	1328	32310
79	1345	32303
80	1360	32239
81	1378	32234
82	1392	32171
83	1409	32138
84	1425	32109
85	1439	32047
86	1456	32034
87	1471	31969
88	1486	31920
89	1500	31851
90	1516	31819
91	1534	31822
92	1550	31787
93	1567	31785
94	1581	31716
95	1597	31676
96	1612	31639
97	1627	31583
98	1639	31473
99	1654	31442
100	1672	31443
101	1689	31434
102	1707	31443
103	1725	31454
104	1742	31441
105	1758	31423
106	1774	31394
107	1790	31363
108	1809	31398
109	1827	31394
110	1843	31372
111	1859	31353
112	1875	31319
113	1889	31259
114	1904	31215
115	1921	31213
116	1936	31174
117	1956	31205
118	1976	31238
119	1995	31257
120	2014	31282
121	2037	31359
122	2056	31380
123	2075	31400
124	2094	31421
125	2111	31400
126	2128	31388
127	2144	31363
128	2162	31361
129	2178	31343
130	2197	31348
131	2214	31343
132	2232	31345
133	2250	31345
134	2270	31364
135	2285	31318
136	2300	31283
137	2316	31260
138	2332	31233
139	2353	31261
140	2368	31225
141	2383	31182
142	2398	31144
143	2417	31157
144	2432	31116
145	2449	31101
146	2464	31072
147	2481	31048
148	2496	31008
149	2511	30970
150	2526	30942
151	2542	30916
152	2562	30929
153	2577	30893
154	2591	30853
155	2607	30823
156	2622	30782
157	2639	30777
158	2657	30767
159	2671	30722
160	2687	30694
161	2702	30664
162	2721	30673
163	2736	30637
164	2752	30607
165	2767	30580
166	2783	30548
167	2796	30500
168	2812	30466
169	2827	30436
170	2847	30456
171	2865	30449
172	2879	30410
173	2896	30393
174	2910	30354
175	2926	30329
176	2942	30302
177	2957	30277
178	2975	30267
179	2992	30257
180	3007	30228
181	3022	30193
182	3037	30159
183	3054	30142
184	3069	30111
185	3083	30071
186	3098	30044
187	3113	30008
188	3127	29969
189	3145	29961
190	3164	29967
191	3179	29944
192	3200	29963
193	3215	29936
194	3232	29917
195	3245	29871
196	3263	29871
197	3281	29865
198	3296	29829
199	3312	29815
200	3330	29805
201	3343	29763
202	3358	29733
203	3374	29705
204	3390	29684
205	3407	29678
206	3423	29655
207	3438	29627
208	3456	29615
209	3470	29582
210	3484	29540
211	3499	29513
212	3514	29483
213	3532	29485
214	3548	29463
215	3563	29434
216	3579	29408
217	3595	29387
218	3612	29382
219	3631	29384
220	3647	29364
221	3663	29339
